,price_usd_close,min_1_count,min_10_count,min_100_count,min_1k_count,min_10k_count,active_count,new_non_zero_count,receiving_count,balance_exchanges,balance_exchanges_relative,exchange_net_position_change,active_3m_6m,active_6m_12m,active_1y_2y,active_2y_3y,active_3y_5y,profit_relative,profit_sum,loss_sum,count,transfers_volume_exchanges_net,mvrv,mvrv_z_score,marketcap_realized_usd,net_unrealized_profit_loss,seller_exhaustion_constant,realized_profits_to_value_ratio,realized_profit,realized_loss,ssr_oscillator
price_usd_close,1.0,0.2433877573966289,0.843500809108488,0.1163569528510061,0.086204645877829,0.8315574101293651,0.1925887716627219,0.08197299949208725,0.23202395419994734,0.85599012003379,0.8645497841406782,0.2833595279057911,0.30141116347211083,0.36889112334378316,0.8465974977404772,0.7693204487197693,0.7964400277444181,0.14268836359850176,0.19592271662682464,0.13564566793726623,0.32332871476747577,0.08737172006220296,0.5977660723108882,0.5852123386610634,0.8644498109711432,0.6350268292575078,0.23809764410254217,0.22785542449732116,0.5116725215729757,0.33193994889749817,0.36804176037399483
min_1_count,0.2433877573966289,1.0,0.5934025094442945,0.4417865602231374,0.6458599854131687,0.5900952628661565,0.5649264820979064,0.6965991553467111,0.5423306498828935,0.13904967009379288,0.19603134381274906,0.18550266437409718,0.6384168226778324,0.47957794678007254,0.40824751615195237,0.3845289007646405,0.22277559431473218,0.5468454111234772,0.512437925976535,0.5532002994568398,0.6479136763936432,7.597100067599219e-05,0.4351136347777685,0.4369645876028548,0.5398066794688707,0.3782299004634107,0.21945299676752003,0.4376832861447094,0.23054179663784308,0.2759798931428063,0.5495662242045147
min_10_count,0.843500809108488,0.5934025094442945,1.0,0.23300496530390213,0.17901121324158709,0.9629369464924666,0.10902222580293273,0.41676861023796047,0.08369834172097429,0.7427425326825536,0.7784586205963557,0.38320293093073216,0.5427505044351749,0.4026643906954795,0.8238971946904642,0.8570340601720435,0.8191233470414014,0.297100463868463,0.2446262976213087,0.305357134866897,0.5998439602884096,0.07304422378711185,0.191415808838819,0.20797517926071749,0.9431183261981081,0.23132498933046056,0.1437958653803564,0.05235257157740562,0.24967707886884571,0.4774094736531535,0.08042764179787101
min_100_count,0.1163569528510061,0.4417865602231374,0.23300496530390213,1.0,0.6305740405000908,0.22998276390573275,0.48728718416387057,0.5244972363814902,0.4618120278814148,0.05163563214225976,0.002017137978934661,0.0436971327746206,0.1287600259415996,0.4840933647459924,0.11977424765049707,0.1787422745375039,0.011884091167014919,0.5526454356890403,0.5487002143970303,0.5527605486483408,0.34623233665778974,0.029921423432321997,0.6224417789805379,0.6281725563458186,0.2450677955709602,0.5774500487193909,0.31498159492982936,0.4562505246549858,0.3705949833253821,0.07360936986093951,0.546180783142326
min_1k_count,0.086204645877829,0.6458599854131687,0.17901121324158709,0.6305740405000908,1.0,0.24525097791453526,0.5787577361238763,0.6107048732987653,0.5490636595670456,0.14606997086552115,0.09170467513086672,0.026413136469388847,0.3452050289585066,0.5937334189093283,0.09475092591040282,0.10934921499227401,0.18232160337897405,0.5698289114881131,0.5599383148762692,0.5701337884879335,0.40967632963217815,0.008252757978524723,0.7234833564712841,0.7662867902511071,0.2679939188661533,0.6617862126206999,0.47493938576214345,0.5860777124472233,0.45363007992899007,0.10876730410036335,0.6833813079601173
min_10k_count,0.8315574101293651,0.5900952628661565,0.9629369464924666,0.22998276390573275,0.24525097791453526,1.0,0.13905156618691245,0.4303572541196103,0.10994497351526655,0.7029478634941573,0.7385290405687682,0.358002629707075,0.6064427741163464,0.4354184082839618,0.844358733482669,0.7742796154983005,0.7407334841655899,0.27231875304995196,0.21851229535183223,0.28061483331552195,0.5847770949438046,0.0765812134309654,0.18025959733573707,0.18762187710863487,0.9194359897311283,0.2264081525972212,0.08555466388452689,0.05149100597384255,0.24708085355567122,0.4229189225539104,0.04333853695756107
active_count,0.1925887716627219,0.5649264820979064,0.10902222580293273,0.48728718416387057,0.5787577361238763,0.13905156618691245,1.0,0.8635148733625182,0.9024626962759988,0.19082952644549336,0.14732712319259827,0.06696752339344064,0.2535711883130818,0.39810396113948243,0.015263710100880273,0.002853439813120483,0.15594978444375932,0.5325917251332611,0.5269185947521512,0.5340429475445012,0.7213691098450425,0.028488301809510605,0.6262613545516443,0.621708374137365,0.1231370429654278,0.5879714766932999,0.2967645474918863,0.5528964174897986,0.5005679156547497,0.01107461659290563,0.5360733331851277
new_non_zero_count,0.08197299949208725,0.6965991553467111,0.41676861023796047,0.5244972363814902,0.6107048732987653,0.4303572541196103,0.8635148733625182,1.0,0.9301879994181929,0.07249174623910305,0.12214819455180873,0.10136392056564235,0.42657322126405106,0.46064043816362227,0.2481135366783229,0.2900285232816139,0.13511460657051902,0.5935908558505537,0.572586319890086,0.5976472861766381,0.9162720172965807,0.024476692869585478,0.5247529098390675,0.5191299654353105,0.414594328777696,0.46676563455843967,0.1881021045790741,0.5682639713082276,0.4330893857449502,0.1544959756614597,0.558497521287891
receiving_count,0.23202395419994734,0.5423306498828935,0.08369834172097429,0.4618120278814148,0.5490636595670456,0.10994497351526655,0.9024626962759988,0.9301879994181929,1.0,0.2177387349847221,0.17907745681537177,0.03449221201504846,0.2907946791732226,0.2932040172994952,0.02313909943885839,0.033344443431056005,0.16630785462764605,0.5116482363120323,0.5086732318564688,0.5131802612405804,0.7794481769499009,0.0020999991573807343,0.6099999798458855,0.6041095970950888,0.07145254271911763,0.571426873013558,0.2301203455043951,0.5831262397562591,0.5561423267611159,0.05048959039165078,0.5535575851708954
balance_exchanges,0.85599012003379,0.13904967009379288,0.7427425326825536,0.05163563214225976,0.14606997086552115,0.7029478634941573,0.19082952644549336,0.07249174623910305,0.2177387349847221,1.0,0.9969464843895789,0.07657571177952459,0.10495759436470703,0.3604323058876643,0.7158221775826645,0.8507334353002427,0.9112922263586868,0.11750224148135807,0.16500653598364884,0.11017667947676994,0.31605921944211307,0.0304628128463243,0.5182468405530327,0.4958727785380113,0.8095158064306854,0.5920646809568333,0.2521915705689923,0.25123745558236615,0.43201138325243627,0.35034847350189774,0.32118802513502964
